"id_pessoa","nome","nome_ref"
543,"Tiago Silva da Silva","Silva, T. S."
544,"Ticianne Darin","Darin, T."
545,"Tito Lívio Castro","Castro, T. L."
546,"Tom Carey","Carey, T."
547,"Toni Granollers","Granollers, T."
548,"Ubiratan Carmo","Carmo, U."
549,"Ugo Braga Sangiorgi","Sangiorgi, U. B."
550,"Vagner Figuerêdo de Santana","Santana, V. F."
551,"Vanessa R.M.L. Maike","Maike, V. R."
552,"Vânia Paula de Almeida Neris","Neris, V. P. A."
553,"Vaninha Vieira","Vieira, V."
554,"Vasco Furtado","Furtado, V."
555,"Verison José Vicentin","Vicentin, V. J."
556,"Victor Cavalcante","Cavalcante, V."
557,"Victor M. de O. Pereira","Pereira, V. M. O."
558,"Víctor M. González","González, V. M."
559,"Victor W. Costa de Medeiros","Medeiros, V. W. C."
560,"Victor Ximenes","Ximenes, V."
561,"Vinícius Carvalho Pereira","Pereira, V. C."
562,"Vinícius G. Carvalho","Carvalho, V. G."
563,"Vinícius Pereira Gonçalves","Gonçalves, V. P."
564,"Violeta S.T.D.B Quental","Quental, V. S."
565,"Virgílio Almeida","Almeida, V."
566,"Vitor Casadei","Casadei, V."
567,"Vivian Heemann","Heemann, V."
568,"Viviane Cristina Oliveira Aureliano","Aureliano, V. C. O."
569,"Viviane Santos de Oliveira Veiga","Veiga, V. S. O."
570,"Vladimir Oliveira Di Iorio","Iorio, V. O. D."
571,"Wagner José Dizeró","Dizeró, W. J."
572,"Wagner Meira Jr.","Jr., W. M."
573,"Walter de Abreu Cybis","Cybis, W. A."
574,"Wander Antunes Gaspar Valente","Valente, W. A. G."
575,"Wellington B. do Nascimento Jr.","Jr., W. B. d. N."
576,"William J. Giraldo","Giraldo, W. J."
577,"Williamson Silva","Silva, W."
578,"Yngve Sundblad","Sundblad, Y."
579,"Yulia Ostróvskaya","Ostróvskaya, Y."
