"id_pessoa","nome","nome_ref"
276,"João Porto de Albuquerque","Albuquerque, J. P."
277,"John Maykol de Moraes","Moraes, J. M."
278,"Joice Lee Otsuka","Otsuka, J. L."
279,"Jônatas Leite de Oliveira","Oliveira, J. L."
280,"José Antônio Borges","Borges, J. A."
281,"José Antonio Gonçalves Motta","Motta, J. A. G."
282,"José Antonio Tula Leyva","Leyva, J. A. T."
283,"José Bezerra da Silva Filho","Filho, J. B. S."
284,"José Cláudio Vahl Júnior","Júnior, J. C. V."
285,"José Eustáquio Rangel de Queiroz","Queiroz, J. E. R."
286,"José Geraldo Veloso Moreira","Moreira, J. G. V."
287,"José L. Arciniegas","Arciniegas, J. L."
288,"José Palazzo M. de Oliveira","Oliveira, J. P. M."
289,"José Valdeni de Lima","Lima, J. V."
290,"Jouderian Nobre Jr","Jr, J. N."
291,"Judith Kelner","Kelner, J."
292,"Julián Esteban Gutiérrez Posada","Posada, J. E. G."
293,"Juliana Aramizu Paludo","Paludo, J. A."
294,"Juliana Cristina Braga","Braga, J. C."
295,"Juliana Jansen Ferreira","Ferreira, J. J."
296,"Juliana Salles","Salles, J."
297,"Juliane Vargas Nunes","Nunes, J. V."
298,"Juliano de Vargas Bittencourt","Bittencourt, J. V."
299,"Juliano Schimiguel","Schimiguel, J."
300,"Julio C. Penagos","Penagos, J. C."
301,"Júlio C. Reis","Reis, J. C."
302,"Julio Cesar dos Reis","Reis, J. C. d."
303,"Júlio César Rosa da Silva","Silva, J. C. R."
304,"Junia Anacleto","Anacleto, J."
305,"Júnia Gonçalves","Gonçalves, J."
306,"Kamila R. H. Rodrigues","Rodrigues, K. R. H."
307,"Kamran Sedig","Sedig, K."
308,"Karen Basso","Basso, K."
309,"Karina Villela","Villela, K."
310,"Káthia Marçal de Oliveira","Oliveira, K. M."
311,"Kátia Felizardo","Felizardo, K."
312,"Kecheng Liu","Liu, K."
313,"Kênia Sousa","Sousa, K."
314,"Kizzy Benjamin","Benjamin, K."
315,"Laércio Augusto Baldochi Júnior","Júnior, L. A. B."
316,"Laia Gasparin Pedraza","Pedraza, L. G."
317,"Lara Schibelsky Godoy Piccolo","Piccolo, L. S. G."
318,"Laura Sánchez García","García, L. S."
319,"Lauro Nakayama","Nakayama, L."
320,"Leandro Guarino de Vasconcelos","Vasconcelos, L. G."
321,"Leandro Luís Dias","Dias, L. L."
322,"Leandro Santiago da Silva","Silva, L. S."
323,"Léo Pini Magalhães","Magalhães, L. P."
324,"Leonardo Cunha de Miranda","Miranda, L. C."
325,"Leonardo Nardi","Nardi, L."
326,"Leonardo Rocha","Rocha, L."
327,"Leonardo Rodrigo Domingues","Domingues, L. R."
328,"Leonardo Serra Faria","Faria, L. S."
329,"Leonelo Dell Anhol Almeida","Almeida, L. D. A."
330,"Letícia Capelão","Capelão, L."
331,"Leticia Lopes Leite","Leite, L. L."
332,"Lia Buarque Macedo de Guimarães","Guimarães, L. B. M."
333,"Licínio G. Roque","Roque, L. G."
334,"Lidia S. Ferreira","Ferreira, L. S."
335,"Lirisnei G. Sousa","Sousa, L. G."
336,"Livia Noronha Sarmento","Sarmento, L. N."
337,"Luana Müller","Müller, L."
338,"Lucas F. Bocanegra","Bocanegra, L. F."
339,"Lucas F. da Cunha","Cunha, L. F."
340,"Lucas Miranda","Miranda, L."
341,"Lucia Vilela Leite Filgueiras","Filgueiras, L. V. L."
342,"Luciana Alvim Santos Romani","Romani, L. A. S."
343,"Luciana Aparecida Martinez Zaina","Zaina, L. A. M."
344,"Luciana Cardoso de Castro Salgado","Salgado, L. C. C."
345,"Luciana Correia Lima de Faria Borges","Borges, L. C. L. F."
346,"Luciana da Silveira Espindola","Espindola, L. S."
347,"Luciana P. Nedel","Nedel, L. P."
348,"Luciano Gamez","Gamez, L."
349,"Luciano Meira","Meira, L."
350,"Luciano Vargas Flores","Flores, L. V."
351,"Lucila Ishitani","Ishitani, L."
352,"Lucinéia Heloisa Thom","Thom, L. H."
353,"Lúcio Mauro Duarte","Duarte, L. M."
354,"Luis Valente","Valente, L."
355,"Luis Vasconcelos","Vasconcelos, L."
356,"Luiz Agner","Agner, L."
357,"Luiz Alves","Alves, L."
358,"Luiz C. S. Luz","Luz, L. C. S."
359,"Luiz Carlos Begosso","Begosso, L. C."
360,"Luiz Chaimowicz","Chaimowicz, L."
361,"Luiz Fernando Gomes Soares","Soares, L. F. G."
362,"Luiz Gustavo de Souza","Souza, L. G."
363,"Luiz P. D. Corrêa","Corrêa, L. P. D."
364,"Lyrene Fernandes da Silva","Silva, L. F."
365,"M. Cecília Martins","Martins, M. C."
366,"Macilon Araújo Costa Neto","Neto, M. A. C."
367,"Maíra Greco de Paula","Paula, M. G."
368,"Manoel Gomes de Mendonça Neto","Neto, M. G. M."
369,"Manoel Mendonça","Mendonça, M."
370,"Manoel Pereira Junior","Junior, M. P."
371,"Marcela Xavier Ribeiro","Ribeiro, M. X."
372,"Marcelle Pereira Mota","Mota, M. P."
373,"Marcelo Barbosa","Barbosa, M."
374,"Marcelo Duduchi","Duduchi, M."
375,"Marcelo Morandini","Morandini, M."
376,"Marcelo S. Pimenta","Pimenta, M. S."
377,"Marcelo Soares Pimenta","Pimenta, M. S."
378,"Marcelo Vasques de Oliveira","Oliveira, M. V."
379,"Márcia Cristina Moraes","Moraes, M. C."
380,"Marcia de Borba Campos","Campos, M. B."
381,"Marcio Juliato","Juliato, M."
382,"Márcio Matias","Matias, M."
383,"Márcio Oliveira Almeida","Almeida, M. O."
384,"Márcio Pinho","Pinho, M."
385,"Márcio Serolli Pinho","Pinho, M. S."
386,"Marco Antônio Alba Winckler","Winckler, M. A. A."
387,"Marco Aurélio Medeiros","Medeiros, M. A."
388,"Marcos Alexandre Rose Silva","Silva, M. A. R."
389,"Marcos Alves dos Santos","Santos, M. A. d."
390,"Marcos Augusto F. Borges","Borges, M. A. F."
391,"Marcos H. Kimura","Kimura, M. H."
392,"Marcos Henrique Cascone","Cascone, M. H."
393,"Marcos O. Prates","Prates, M. O."
394,"Marcos Sfair Sunye","Sunye, M. S."
395,"Marcus Vinícius A. Andrade","Andrade, M. V. A."
396,"Margherita Bracci","Bracci, M."
397,"Maria Augusta S.N. Nunes","Nunes, M. A. S."
398,"Maria Carolina de Souza Santos","Santos, M. C. S."
399,"Maria Cecília C. Baranauskas","Baranauskas, M. C. C."
400,"Maria L. Villegas","Villegas, M. L."
401,"Maria Lúcia Arraes Seixas","Seixas, M. L. A."
402,"Maria Lúcia Bento Villela","Villela, M. L. B."
403,"Mariano Pimentel","Pimentel, M."
404,"Marília Levacov","Levacov, M."
405,"Mário Cesar Silveira","Silveira, M. C."
406,"Marta Rosecler Bez","Bez, M. R."
407,"Matheus Araújo","Araújo, M."
408,"Matheus Hentges Ferreira","Ferreira, M. H."
409,"Matías Espinoza","Espinoza, M."
410,"Mauricio Cirelli","Cirelli, M."
411,"Mauro dos Santos Anjo","Anjo, M. d. S."
412,"Mauro F. Santos Junior","Junior, M. F. S."
413,"Mayara Costa Figueiredo","Figueiredo, M. C."
414,"Mayara G. Leite","Leite, M. G."
415,"Michele Frighetto","Frighetto, M."
416,"Michele Mariani","Mariani, M."
417,"Micheline Parizotto","Parizotto, M."
418,"Miguel Galves","Galves, M."
419,"Milene Selbach Silveira","Silveira, M. S."
420,"Miriam Fernandez","Fernandez, M."
421,"Mônica Zewe Uriarte","Uriarte, M. Z."
422,"Nassim Chamel Elias","Elias, N. C."
423,"Natália S. Santos","Santos, N. S."
424,"Natasha M. C. Valentim","Valentim, N. M. C."
425,"Nathalie Blanc","Blanc, N."
426,"Nazareno Andrade","Andrade, N."
427,"Neno Henrique da Cunha Albernaz","Albernaz, N. H. C."
428,"Neri dos Santos","Santos, N. d."
429,"Ney Wagner Freitas Cavalcante","Cavalcante, N. W. F."
430,"Nirvana S. Antonio","Antonio, N. S."
431,"Norma P. Hernández","Hernández, N. P."
432,"Ofelia Cervantes","Cervantes, O."
433,"Olavo Giraldi Jr.","Jr., O. G."
434,"Omar G. Junior","Junior, O. G."
435,"Oronzo Parlangeli","Parlangeli, O."
436,"Osvaldo Huerta","Huerta, O."
437,"Osvaldo Luiz de Oliveira","Oliveira, O. L."
438,"Otávio A Martins Netto","Netto, O. A. M."
439,"Pamela C. Levy","Levy, P. C."
